open_time,open,high,low,close,volume,num_trades,taker_base_vol
1600473600000,10933.4,10977.75,10929.88,10976.0,5360.114633,82449,2769.045392
1600488000000,10975.99,10980.0,10898.11,10900.29,4860.998923,77812,2287.578259
1600502400000,10900.28,11150.0,10887.37,11140.0,9033.827467,130475,5061.639916
1600516800000,11139.69,11179.79,11043.0,11090.56,9228.576498,136657,4943.039523
1600531200000,11090.57,11119.93,11011.31,11054.2,5861.880689,107959,2900.416554
1600545600000,11054.21,11087.99,11026.4,11080.65,4094.638648,84775,1961.339623
1600560000000,11080.64,11080.64,10899.33,10948.81,6383.454544,103942,2967.512671
1600574400000,10948.8,10995.31,10933.0,10962.61,4171.369626,70269,1980.400282
1600588800000,10962.6,10984.0,10925.27,10951.17,5002.634214,75565,2409.657192
1600603200000,10951.17,10958.18,10775.0,10834.58,9520.058264,151849,4628.102966
1600617600000,10834.62,10903.77,10723.0,10871.03,7652.686928,138938,3702.844871
1600632000000,10871.03,10938.02,10813.51,10920.28,6427.718989,105766,3749.176381
1600646400000,10920.28,10978.0,10894.42,10962.76,5688.003688,91234,2701.065632
1600660800000,10962.76,10988.86,10889.0,10902.58,5798.877366,87456,2829.011656
1600675200000,10902.58,10912.62,10580.0,10636.47,20719.540456,307267,10035.939712
1600689600000,10636.46,10638.1,10296.35,10418.76,21567.920077,284557,10062.950605
1600704000000,10418.77,10499.0,10356.54,10498.55,10179.294915,140487,4918.49022
1600718400000,10498.55,10533.46,10410.0,10417.22,6729.794677,117530,3081.472764
1600732800000,10417.22,10491.32,10353.0,10449.95,5972.797892,101614,2925.973222
1600747200000,10449.94,10502.79,10360.0,10372.9,7823.399186,139387,3836.003808
1600761600000,10372.91,10503.0,10372.9,10452.26,8386.425935,142237,4141.89367
1600776000000,10452.11,10520.0,10416.0,10451.07,9044.594223,140580,4204.775669
1600790400000,10451.06,10506.22,10447.53,10491.97,6701.006892,106222,3339.954828
1600804800000,10491.98,10572.71,10453.0,10529.61,6063.011348,108536,3048.860392
1600819200000,10529.61,10533.94,10471.72,10476.01,4307.90786,76884,2023.67077
1600833600000,10476.0,10490.84,10380.47,10428.64,8260.550246,130051,4089.989693
1600848000000,10428.63,10496.2,10403.95,10474.45,7420.466438,108470,3805.185504
1600862400000,10474.46,10537.15,10444.41,10453.2,7867.672039,120091,3651.739373
1600876800000,10453.02,10494.72,10255.53,10293.0,12191.68762,159649,5757.476962
1600891200000,10293.0,10324.3,10136.82,10241.46,11828.283876,179246,5684.644517
1600905600000,10241.46,10344.64,10190.93,10301.75,6410.483842,102352,3099.257536
1600920000000,10301.75,10356.47,10271.0,10341.68,6400.577254,92334,3090.620228
1600934400000,10341.69,10440.0,10283.89,10410.01,9095.030299,126228,4105.508538
1600948800000,10410.0,10557.19,10331.93,10545.36,12484.291873,157646,6402.084181
1600963200000,10545.07,10743.59,10540.02,10653.82,15289.476567,193305,7462.618629
1600977600000,10653.87,10795.24,10605.0,10736.32,7996.759592,117417,3786.715213
1600992000000,10736.33,10760.53,10663.14,10667.47,5979.901248,88285,2872.017581
1601006400000,10667.47,10703.12,10614.58,10686.94,6301.274598,98946,3318.03672
1601020800000,10686.93,10686.94,10556.66,10630.0,12586.244617,183321,5959.966618
1601035200000,10630.0,10684.09,10556.24,10647.61,10319.498627,147504,5170.695232
1601049600000,10647.62,10744.18,10625.16,10718.31,7721.899754,115641,3829.002796
1601064000000,10718.43,10754.21,10650.0,10686.67,5192.298164,99733,2416.61139
1601078400000,10686.57,10746.66,10644.68,10704.86,4122.530458,81910,2134.92288
1601092800000,10704.85,10820.94,10687.38,10705.84,6508.34338,103837,3364.274034
1601107200000,10705.84,10728.77,10661.7,10709.94,4877.533402,80784,2463.640996
1601121600000,10709.93,10742.02,10664.97,10721.0,4926.310447,91348,2350.627278
1601136000000,10721.0,10774.45,10682.78,10718.55,4611.126539,82963,2240.009997
1601150400000,10718.54,10751.12,10701.18,10728.6,3374.992433,61828,1761.05616
1601164800000,10728.59,10799.0,10720.02,10781.2,4979.980079,81689,2469.478758
1601179200000,10781.2,10794.99,10620.0,10671.28,5712.467772,92874,2575.942753
1601193600000,10671.28,10678.0,10608.67,10623.5,4665.599237,82363,2303.260879
1601208000000,10623.62,10766.41,10594.82,10754.82,6597.615153,105146,3327.185504
1601222400000,10754.82,10777.0,10700.73,10732.0,5215.076824,93182,2837.075655
1601236800000,10732.01,10784.61,10704.45,10774.25,3378.744188,60750,1588.096221
1601251200000,10774.26,10950.0,10774.26,10885.14,10049.128794,120247,5471.347144
1601265600000,10885.21,10916.6,10836.0,10854.0,7636.933029,102468,3884.241777
1601280000000,10854.0,10902.49,10830.0,10877.91,8228.495292,119536,4199.228426
1601294400000,10877.91,10941.99,10837.12,10901.9,10187.576433,138041,4954.95608
1601308800000,10901.89,10918.57,10836.08,10869.0,6321.840841,97106,3095.211337
1601323200000,10868.63,10888.59,10626.0,10696.12,7671.277345,109266,3614.088551
1601337600000,10696.11,10732.02,10656.82,10689.94,6292.954638,94136,2903.257591
1601352000000,10689.94,10747.88,10668.26,10726.99,5554.578757,77277,2518.558441
1601366400000,10727.0,10797.0,10707.0,10758.92,7225.324125,90704,3403.093604
1601380800000,10758.91,10790.98,10711.48,10725.94,7693.281215,107912,3645.34049
1601395200000,10725.94,10766.0,10635.87,10737.49,9144.454199,124481,4304.941207
1601409600000,10738.98,10867.54,10738.97,10840.48,5964.305465,93066,3120.884876
1601424000000,10840.58,10849.34,10737.01,10742.08,5872.219196,113179,2763.054394
1601438400000,10742.23,10765.78,10675.29,10706.68,6914.378608,98325,3074.242939
1601452800000,10706.56,10730.0,10665.13,10681.0,6663.844725,96576,3255.968978
1601467200000,10680.53,10793.8,10670.0,10777.39,7552.44559,100108,3560.76372
1601481600000,10777.39,10799.0,10681.73,10706.48,8115.895146,109415,3694.660639
1601496000000,10706.48,10785.0,10685.62,10776.59,4477.244057,77780,2363.369041
1601510400000,10776.59,10857.47,10776.59,10798.18,5940.779882,82633,2877.909185
1601524800000,10798.38,10844.71,10790.85,10824.75,5262.187625,73580,2507.981577
1601539200000,10824.75,10920.0,10811.52,10903.16,10727.180463,120592,5255.884998
